,code,length_pd
362,4391B,10
363,4399A,10
364,4399B,10
365,4399C,10
366,4399D,10
367,4399E,12
368,4511Z,10
369,4519Z,10
370,4520A,10
371,4520B,11
372,4531Z,10
373,4532Z,10
374,4540Z,12
375,4611Z,12
376,4612A,12
377,4612B,12
378,4613Z,12
379,4614Z,12
380,4615Z,12
381,4616Z,12
382,4617A,10
383,4617B,12
384,4618Z,11
385,4619A,12
386,4619B,12
387,4621Z,12
388,4622Z,12
389,4623Z,12
390,4624Z,12
391,4631Z,10
392,4632A,12
393,4632B,12
394,4632C,12
395,4633Z,10
396,4634Z,10
397,4635Z,12
398,4636Z,12
399,4637Z,12
400,4638A,10
401,4638B,10
402,4639A,10
403,4639B,10
404,4641Z,12
405,4642Z,11
406,4643Z,11
407,4644Z,12
408,4645Z,12
409,4646Z,10
410,4647Z,12
411,4648Z,12
412,4649Z,10
413,4651Z,12
414,4652Z,12
415,4661Z,10
416,4662Z,12
417,4663Z,11
418,4664Z,12
419,4665Z,12
420,4666Z,12
421,4669A,10
422,4669B,10
423,4669C,10
424,4671Z,12
425,4672Z,10
426,4673A,10
427,4673B,10
428,4674A,10
429,4674B,10
430,4675Z,12
431,4676Z,12
432,4677Z,12
433,4690Z,10
434,4711A,10
435,4711B,10
436,4711C,10
437,4711D,10
438,4711E,11
439,4711F,10
440,4719A,10
441,4719B,10
442,4721Z,11
443,4722Z,10
444,4723Z,12
445,4724Z,11
446,4725Z,12
447,4726Z,12
448,4729Z,10
449,4730Z,11
450,4741Z,12
451,4742Z,12
452,4743Z,12
453,4751Z,12
454,4752A,10
455,4752B,10
456,4753Z,12
457,4754Z,10
458,4759A,10
459,4759B,10
460,4761Z,12
461,4762Z,11
462,4763Z,12
463,4764Z,10
464,4765Z,11
465,4771Z,10
466,4772A,10
467,4772B,12
468,4773Z,10
469,4774Z,10
470,4775Z,10
471,4776Z,10
472,4777Z,11
473,4778A,12
474,4778B,12
475,4778C,10
476,4779Z,12
477,4781Z,11
478,4782Z,12
479,4789Z,12
480,4791A,10
481,4791B,11
482,4799A,11
483,4799B,10
484,4910Z,12
485,4920Z,12
486,4931Z,10
487,4932Z,10
488,4939A,10
489,4939B,10
490,4939C,10
491,4941A,10
492,4941B,10
493,4941C,10
494,4942Z,10
495,4950Z,12
496,5010Z,12
497,5020Z,12
498,5030Z,12
499,5040Z,12
500,5110Z,10
501,5121Z,10
502,5122Z,13
503,5210A,10
504,5210B,10
505,5221Z,10
506,5222Z,12
507,5223Z,10
508,5224A,10
509,5224B,10
510,5229A,10
511,5229B,10
512,5310Z,10
513,5320Z,12
514,5510Z,10
515,5520Z,10
516,5530Z,10
517,5590Z,11
518,5610A,10
519,5610B,10
520,5610C,10
521,5621Z,10
522,5629A,10
523,5629B,10
524,5630Z,10
525,5811Z,12
526,5812Z,14
527,5813Z,12
528,5814Z,12
529,5819Z,12
530,5821Z,12
531,5829A,12
532,5829B,12
533,5829C,12
534,5911A,12
535,5911B,12
536,5911C,12
537,5912Z,12
538,5913A,12
539,5913B,12
540,5914Z,11
541,5920Z,12
542,6010Z,12
543,6020A,12
544,6020B,12
545,6110Z,12
546,6120Z,12
547,6130Z,12
548,6190Z,12
549,6201Z,12
550,6202A,10
551,6202B,12
552,6203Z,12
553,6209Z,12
554,6311Z,11
555,6312Z,12
556,6391Z,12
557,6399Z,12
558,6411Z,12
559,6419Z,10
560,6420Z,10
561,6430Z,12
562,6491Z,12
563,6492Z,12
564,6499Z,12
565,6511Z,12
566,6512Z,10
567,6520Z,12
568,6530Z,12
569,6611Z,12
570,6612Z,12
571,6619A,12
572,6619B,12
573,6621Z,12
574,6622Z,11
575,6629Z,12
576,6630Z,12
577,6810Z,12
578,6820A,10
579,6820B,10
580,6831Z,11
581,6832A,11
582,6832B,12
583,6910Z,11
584,6920Z,11
585,7010Z,10
586,7021Z,12
587,7022Z,10
588,7111Z,12
589,7112A,12
590,7112B,10
591,7120A,12
592,7120B,10
593,7211Z,12
594,7219Z,10
595,7220Z,12
596,7311Z,10
597,7312Z,10
598,7320Z,12
599,7410Z,12
600,7420Z,12
601,7430Z,12
602,7490A,12
603,7490B,12
604,7500Z,10
605,7711A,11
606,7711B,12
607,7712Z,12
608,7721Z,12
609,7722Z,12
610,7729Z,10
611,7731Z,12
612,7732Z,10
613,7733Z,12
614,7734Z,12
615,7735Z,12
616,7739Z,10
617,7740Z,12
618,7810Z,11
619,7820Z,10
620,7830Z,10
621,7911Z,12
622,7912Z,12
623,7990Z,12
624,8010Z,10
625,8020Z,10
626,8030Z,12
627,8110Z,10
628,8121Z,10
629,8122Z,10
630,8129A,11
631,8129B,10
632,8130Z,12
633,8211Z,12
634,8219Z,10
635,8220Z,10
636,8230Z,11
637,8291Z,12
638,8292Z,10
639,8299Z,10
640,8411Z,10
641,8412Z,11
642,8413Z,10
643,8421Z,12
644,8422Z,12
645,8423Z,12
646,8424Z,12
647,8425Z,12
648,8430A,10
649,8430B,12
650,8430C,11
651,8510Z,12
652,8520Z,10
653,8531Z,10
654,8532Z,10
655,8541Z,12
656,8542Z,11
657,8551Z,10
658,8552Z,12
659,8553Z,10
660,8559A,10
661,8559B,11
662,8560Z,12
663,8610Z,10
664,8621Z,11
665,8622A,12
666,8622B,13
667,8622C,12
668,8623Z,11
669,8690A,10
670,8690B,10
671,8690C,12
672,8690D,10
673,8690E,12
674,8690F,12
675,8710A,10
676,8710B,10
677,8710C,10
678,8720A,10
679,8720B,12
680,8730A,10
681,8730B,10
682,8790A,10
683,8790B,10
684,8810A,10
685,8810B,10
686,8810C,10
687,8891A,10
688,8891B,10
689,8899A,11
690,8899B,10
691,9001Z,10
692,9002Z,12
693,9003A,12
694,9003B,12
695,9004Z,12
696,9101Z,12
697,9102Z,12
698,9103Z,12
699,9104Z,12
700,9200Z,11
701,9311Z,10
702,9312Z,10
703,9313Z,11
704,9319Z,10
705,9321Z,10
706,9329Z,10
707,9411Z,12
708,9412Z,12
709,9420Z,11
710,9491Z,11
711,9492Z,12
712,9499Z,10
713,9511Z,12
714,9512Z,12
715,9521Z,12
716,9522Z,10
717,9523Z,12
718,9524Z,12
719,9525Z,12
720,9529Z,12
721,9601A,10
722,9601B,12
723,9602A,10
724,9602B,11
725,9603Z,10
726,9604Z,10
727,9609Z,10
728,9700Z,12
729,9810Z,12
730,9820Z,12
731,9900Z,12
